role,games,pitches,plate_appearances,zone_pct,zone_ci_low,zone_ci_high,first_pitch_strike_pct,first_pitch_strike_ci_low,first_pitch_strike_ci_high,whiff_pct,whiff_ci_low,whiff_ci_high,chase_pct,chase_ci_low,chase_ci_high,pitcher_run_value,four_seam_velocity,slider_velocity
先发,15,1151,265,43.440486533449175,40.603349467643866,46.32126426293183,49.81132075471698,43.837133361413095,55.790900395267414,31.58953722334004,27.656949455645652,35.80455214486038,26.42089093701997,23.179323798342466,29.939109728177538,-0.7949999999999995,94.87134146341464,86.68927203065135
牛棚,2,89,23,46.06741573033708,36.08954818482133,56.3707282429869,73.91304347826087,53.52960945624944,87.45155411075103,40.0,27.024679447957546,54.54840579085527,37.5,25.215072404068117,51.637493874750426,2.771,94.71875,86.23499999999999
