pitch_type,pitch_name_cn,pitches,usage_pct,velocity_mph,zone_pct,whiff_pct,pitcher_run_value,rv100_recomputed,official_run_value,official_rv100,official_xwoba,official_woba,official_hard_hit_pct
SL,滑球,562,45.32258064516129,86.65693950177935,39.8576512455516,40.61433447098976,3.625000000000001,0.6450177935943062,4,0.6,0.274,0.272,41.6
FF,四缝线,540,43.54838709677419,94.85777777777777,49.44444444444444,19.607843137254903,-0.6010000000000004,-0.11129629629629638,-1,-0.1,0.401,0.382,49.3
SI,伸卡球,61,4.919354838709677,94.50000000000001,49.18032786885246,18.51851851851852,1.1360000000000001,1.8622950819672133,1,1.9,0.453,0.307,50.0
FS,指叉球,42,3.3870967741935485,84.66904761904763,7.142857142857142,75.0,-1.081,-2.5738095238095235,-1,-2.6,0.0,0.0,
CH,变速球,29,2.338709677419355,86.84482758620689,44.827586206896555,62.5,-1.4029999999999998,-4.837931034482758,-1,-4.8,0.875,1.0,100.0
CU,曲球,6,0.4838709677419355,77.61666666666667,66.66666666666666,0.0,0.3,5.0,0,5.0,0.272,0.0,100.0
