pitch_type,pitch_name_cn,npb_usage_pct,mlb_usage_pct,usage_change_pp,npb_velocity_mph,mlb_velocity_mph,npb_whiff_pct,mlb_whiff_pct,npb_xpv100,mlb_rv100
FF,四缝线,47.5,43.54838709677419,-3.951612903225808,94.87095363079615,94.85777777777777,19.9,19.607843137254903,0.161,-0.1
SL,滑球,33.28,45.32258064516129,12.042580645161287,86.17797065139584,86.65693950177935,45.87,40.61433447098976,1.261,0.6
CH,变速球,12.67,2.338709677419355,-10.331290322580646,84.73017577348287,86.84482758620689,41.55,62.5,1.026,-4.8
FS,指叉球,4.37,3.3870967741935485,-0.9829032258064516,85.38882923725443,84.66904761904763,48.84,75.0,0.806,-2.6
SI,伸卡球,0.0,4.919354838709677,4.919354838709677,,94.50000000000001,,18.51851851851852,,1.9
CU,曲球,2.18,0.4838709677419355,-1.6961290322580647,77.658971605822,77.61666666666667,23.08,0.0,-1.5,5.0
