level,BF,K_pct,BB_pct,K_minus_BB_pct,ERA,xERA
NPB 2025,641.0,27.8,7.0,20.7,1.92,
MLB 2026,288.0,27.77777777777778,14.583333333333334,13.194444444444445,5.288659793814433,4.89
