count_group,pitch_type,pitches,usage_within_count_pct,zone_pct,rv100
均势,CH,21,3.9697542533081287,57.14285714285714,-6.276190476190477
均势,CU,5,0.945179584120983,60.0,4.879999999999999
均势,FF,214,40.45368620037807,46.26168224299065,0.19813084112149545
均势,FS,20,3.780718336483932,5.0,-1.6650000000000003
均势,SI,31,5.8601134215500945,54.83870967741935,1.070967741935484
均势,SL,238,44.99054820415879,44.537815126050425,2.0844537815126043
打者领先,CH,3,0.9230769230769231,0.0,-1.1666666666666665
打者领先,CU,1,0.3076923076923077,100.0,5.6000000000000005
打者领先,FF,163,50.15384615384615,52.14723926380368,-0.1975460122699388
打者领先,FS,9,2.769230769230769,11.11111111111111,-7.155555555555556
打者领先,SI,16,4.923076923076923,37.5,-1.6000000000000008
打者领先,SL,133,40.92307692307692,48.1203007518797,-1.1000000000000008
投手领先,CH,5,1.5479876160990713,20.0,-1.0
投手领先,FF,134,41.48606811145511,46.26865671641791,-1.9074626865671642
投手领先,FS,13,4.024767801857585,7.6923076923076925,-0.7999999999999999
投手领先,SI,13,4.024767801857585,46.15384615384615,5.507692307692308
投手领先,SL,158,48.916408668730654,26.582278481012654,0.14746835443037973
满球数,FF,29,46.03174603174603,72.41379310344827,6.389655172413791
满球数,SI,1,1.5873015873015872,100.0,34.4
满球数,SL,33,52.38095238095238,36.36363636363637,-0.32121212121212145
